Wall time;Step;Value
16.157.248.557.323.300;25232;23
16.157.249.303.621.200;25245;70
16.157.249.776.707.600;25254;43
1.615.725.516.205.690;25333;44
16.157.259.090.244.700;25392;25
16.157.266.832.920.600;25506;22
1.615.726.739.438.870;25521;22
16.157.270.726.309.300;25573;43
1.615.727.244.880.820;25600;34
1.615.727.661.982.690;25662;11
1.615.727.834.117.080;25687;14
16.157.283.954.250.500;25776;46
16.157.286.379.446.100;25813;21
16.157.288.692.860.700;25848;33
16.157.289.899.619.200;25864;70
16.157.291.146.673.100;25881;62
16.157.293.872.304.700;25922;18
1.615.730.057.350.600;26030;8
16.157.301.632.690.600;26046;44
16.157.302.823.221.000;26067;33
16.157.303.035.681.100;26076;6
1.615.730.393.797.120;26092;18
1.615.730.760.819.420;26155;39
16.157.307.625.158.900;26156;60
1.615.730.857.402.000;26170;21
16.157.315.639.905.000;26280;26
16.157.316.513.328.300;26293;33
16.157.317.354.447.600;26304;22
16.157.323.450.960.000;26394;41
16.157.324.197.520.500;26404;48
16.157.328.594.580.900;26471;37
1.615.733.179.245.540;26513;23
16.157.342.845.471.800;26671;33
16.157.345.744.249.000;26709;72
16.157.349.324.590.000;26755;70
1.615.734.952.700.530;26757;54
16.157.352.144.695.100;26797;30
1.615.735.222.945.020;26798;25
16.157.352.287.855.500;26799;37
16.157.353.344.373.000;26815;57
16.157.354.262.960.800;26828;46
161.573.543.676.885;26830;47
1.615.736.106.800.330;26929;24
161.573.710.580.841;27079;30
16.157.375.650.900.300;27143;19
16.157.376.132.997.300;27149;73
16.157.376.477.413.300;27155;14
16.157.376.694.257.600;27159;28
16.157.376.811.299.800;27160;165
16.157.381.392.509.600;27235;27
1.615.738.408.536.730;27275;42
16.157.387.422.560.400;27330;38
16.157.395.015.043.600;27439;21
16.157.395.884.352.000;27450;243
16.157.396.371.972.300;27458;40
16.157.399.480.966.400;27506;70
16.157.400.934.364.900;27530;84
1.615.740.361.472.580;27570;79
16.157.403.964.969.600;27573;31
16.157.406.010.704.000;27604;47
16.157.406.806.001.800;27614;44
16.157.407.205.708.500;27621;30
1.615.740.864.743.720;27639;44
1.615.741.239.852.780;27696;30
16.157.413.581.497.700;27716;39
16.157.413.805.543.600;27719;31
